model,price,mileage,used/certified,deal,Ext Color,Int Color,Trans,Drivetrain,Dealership,miles from Durham
2014 Toyota Corolla LE,"$14,500 ","27,701",USED,GOOD DEAL,Slate Metallic,Amber,Automatic CVT,FWD,Smith Chevrolet,203
2014 Toyota Corolla LE,"$10,868 ","75,849",CERTIFIED,GREAT DEAL,Barcelona Red Metallic,Ash,5-Speed Automatic,FWD,Koons Annapolis Toyota,243
2014 Toyota Corolla LE,"$13,500 ","9,450",USED,GREAT DEAL,4evergreen Mica,Ash,Automatic,Front Wheel Drive,Shirlie Slack Mitsubishi,175
2014 Toyota Corolla S Premium,"$14,706 ","13,699",USED,GREAT DEAL,Barcelona Red Metallic,Ash,4-SPEED A/T,Front Wheel Drive,LBJ Chevrolet of Nashville,51
2014 Toyota Corolla LE Plus,"$14,990 ","17,649",USED,GOOD DEAL,Barcelona Red Metallic,Ash,Automatic CVT,FWD,Ramey Ford of Princeton,154
2014 Toyota Corolla S Plus,"$13,960 ","28,582",USED,GOOD DEAL,Classic Silver Metallic,Ash,,FWD,Koons Silver Spring Ford Lincoln,238
2014 Toyota Corolla LE,"$12,790 ","30,347",USED,GOOD DEAL,Black Sand Mica,Ash,Automatic CVT,FWD,Brown's Fairfax Nissan,215
2014 Toyota Corolla LE,"$12,870 ","34,701",USED,,Black Sand Mica,Ash,Automatic CVT,FWD,Performance Automall,7
2014 Toyota Corolla S Plus,"$13,488 ","34,713",USED,GOOD DEAL,Black Sand Mica,Ash,Manual,FWD,Antwerpen Toyota Scion,246
2014 Toyota Corolla LE GRADE,"$14,999 ","36,056",CERTIFIED,GOOD DEAL,Slate Metallic,Ash,,Continuously Variable Transmission,Jim Hudson Toyota,184
2014 Toyota Corolla LE,"$13,999 ","36,658",USED,GOOD DEAL,Slate Metallic,Ash,Automatic CVT,FWD,Kevin Powell Foothill Ford,93
2014 Toyota Corolla LE,"$12,628 ","49,887",CERTIFIED,GOOD DEAL,Silver,Ash,Automatic CVT,FWD,McGeorge Toyota Certified Sales Center,135
2014 Toyota Corolla LE,"$11,498 ","52,255",USED,GOOD DEAL,Black,Ash,Automatic CVT,FWD,Massey Toyota,87
2014 Toyota Corolla LE,"$11,379 ","60,680",USED,GOOD DEAL,Slate Metallic,Ash,Automatic CVT,FWD,Hendrick Toyota North Charleston,221
2014 Toyota Corolla,"$10,769 ","60,984",USED,GOOD DEAL,Classic Silver Metallic,Ash,Automatic CVT,FWD,Honda of Chantilly,214
2014 Toyota Corolla LE GRADE,"$13,764 ","61,503",CERTIFIED,GOOD DEAL,4evergreen Mica,Ash,Continuously Variable Transmission,,Priority Toyota Chesapeake,157
2014 Toyota Corolla L,"$11,910 ","64,954",USED,,Gray,Ash,4-Speed Automatic,FWD,Mark Jacobson Toyota Scion,4
2014 Toyota Corolla S Premium,"$13,855 ","42,788",USED,GOOD DEAL,Slate Metallic,Black,4-Speed Automatic,FWD,Checkered Flag Toyota,162
2014 Toyota Corolla S,"$11,988 ","19,360",USED,GREAT DEAL,Black,Black,Automatic CVT,FWD,AutoMember,227
2014 Toyota Corolla LE,"$12,000 ","21,442",USED,GOOD DEAL,Slate Metallic,Black,Automatic CVT,FWD,BMW of Columbia,178
2014 Toyota Corolla S Plus,"$13,800 ","22,092",USED,GOOD DEAL,Blue,Black,6-Speed Manual,FWD,Car Source of Lenoir,146
2014 Toyota Corolla S,"$13,500 ","22,967",USED,GOOD DEAL,Black,Black,Automatic CVT,FWD,Modern Ford of Boone,154
2014 Toyota Corolla S 4dr Sedan,"$13,480 ","24,194",USED,GOOD DEAL,Blue,Black,,FWD,VROOM (Raleigh),17
2014 Toyota Corolla S 4dr Sedan,"$13,480 ","24,194",USED,GOOD DEAL,Blue,Black,,FWD,"VROOM (Washington, DC)",228
2014 Toyota Corolla S 4dr Sedan,"$13,480 ","24,194",USED,GOOD DEAL,Blue,Black,,FWD,VROOM (Greenville),199
2014 Toyota Corolla S Plus,"$14,980 ","24,992",USED,GOOD DEAL,Blue Crush Metallic,Black,Automatic CVT,FWD,Crews Subaru,219
2014 Toyota Corolla S,"$14,998 ","26,559",USED,GOOD DEAL,Red,Black,1-Speed CVT w/OD,FWD,CarMax Frederick,247
2014 Toyota Corolla LE,"$13,500 ","33,172",USED,GOOD DEAL,Barcelona Red Metallic,Black,continuously variable (cvti s),Front Wheel Drive,Phillips Motors Company,102
2014 Toyota Corolla S Plus,"$13,981 ","35,870",USED,GOOD DEAL,Red,Black,Automatic CVT,FWD,Town and Country Toyota,126
2014 Toyota Corolla S Plus,"$13,941 ","35,989",USED,GOOD DEAL,Red,Black,Automatic CVT,FWD,Bradshaw Automotive,199
2014 Toyota Corolla S Plus,"$13,275 ","36,936",CERTIFIED,GREAT DEAL,Black,Black,Automatic CVT,FWD,Bill Page Toyota,219
2014 Toyota Corolla S,"$12,977 ","38,000",USED,GOOD DEAL,White,Black,Automatic,FWD,Fred's Executive Auto,202
2014 Toyota Corolla S Plus,"$14,599 ","38,179",USED,GOOD DEAL,Black,Black,1-Speed CVT w/OD,FWD,CarMax Dulles,223
2014 Toyota Corolla S Plus,"$12,300 ","39,051",USED,,White,Black,Automatic,Front Wheel Drive,Alpha Motorsports,175
