Player,Last,First,rev.,college,DOB,link,position,draft_round,draft_overall,draft_year,year_last,career_yds,active
Joseph Addai,Addai,Joseph,"Addai, Joseph",Louisiana State,5/3/83,http://www.footballdb.com/players/joseph-addai-addaijo01,RB,1,30,2006,2011,4453,
Shaun Alexander,Alexander,Shaun,"Alexander, Shaun",Alabama,8/30/77,http://www.footballdb.com/players/shaun-alexander-alexash01,RB,1,19,2000,2008,9453,
Abdul-Karim Al-Jabbar,Al-Jabbar,Abdul-Karim,"Al-Jabbar, Abdul-Karim",UCLA,6/28/74,http://www.footballdb.com/players/abdulkarim-aljabbar-abdulka01,RB,3,80,1996,2000,3411,
James Allen,Allen,James,"Allen, James",Oklahoma,3/28/75,http://www.footballdb.com/players/james-allen-allenja01,RB,,,1998,2002,2497,
Marcus Allen,Allen,Marcus,"Allen, Marcus",Southern California,3/26/60,http://www.footballdb.com/players/marcus-allen-allenma01,RB,1,10,1982,1997,12243,
Terry Allen,Allen,Terry,"Allen, Terry",Clemson,2/21/68,http://www.footballdb.com/players/terry-allen-allente01,RB,9,241,1990,2001,8614,
Gary Anderson,Anderson,Gary,"Anderson, Gary",Arkansas,4/18/61,http://www.footballdb.com/players/gary-anderson-anderga02,RB,1,20,1983,1993,3409,
Jamal Anderson,Anderson,Jamal,"Anderson, Jamal",Utah,9/30/72,http://www.footballdb.com/players/jamal-anderson-anderja01,RB,7,201,1994,2001,5336,
Mike Anderson,Anderson,Mike,"Anderson, Mike",Utah,9/21/73,http://www.footballdb.com/players/mike-anderson-andermi01,RB,6,189,2000,2007,4067,
Neal Anderson,Anderson,Neal,"Anderson, Neal",Florida,8/14/64,http://www.footballdb.com/players/neal-anderson-anderne01,RB,1,27,1986,1993,6166,
Ottis Anderson,Anderson,Ottis,"Anderson, Ottis",Miami,1/19/57,http://www.footballdb.com/players/ottis-anderson-anderot01,RB,1,8,1979,1992,10273,
William Andrews,Andrews,William,"Andrews, William",Auburn,12/25/55,http://www.footballdb.com/players/william-andrews-andrewi01,RB,3,79,1979,1986,5986,
Otis Armstrong,Armstrong,Otis,"Armstrong, Otis",Purdue,11/15/50,http://www.footballdb.com/players/otis-armstrong-armstot01,RB,1,9,1973,1980,4453,
Tiki Barber,Barber,Tiki,"Barber, Tiki",Virginia,4/7/75,http://www.footballdb.com/players/tiki-barber-barbeti01,RB,2,36,1997,2006,10449,
Kevan Barlow,Barlow,Kevan,"Barlow, Kevan",Pittsburgh,1/7/79,http://www.footballdb.com/players/kevan-barlow-barloke01,RB,3,80,2001,2006,3984,
Dick Bass,Bass,Dick,"Bass, Dick",Pacific,3/15/37,http://www.footballdb.com/players/dick-bass-bassdi01,RB,1,2,1959,1969,5417,
Greg Bell,Bell,Greg,"Bell, Greg",Notre Dame,8/1/62,http://www.footballdb.com/players/greg-bell-bellgr01,RB,1,26,1984,1990,4959,
Le'Veon Bell,Bell,Le'Veon,"Bell, Le'Veon",Michigan State,2/18/92,http://www.footballdb.com/players/leveon-bell-bellle02,RB,2,48,2013,2014,2221,x
Ricky Bell,Bell,Ricky,"Bell, Ricky",Southern California,4/8/55,http://www.footballdb.com/players/ricky-bell-bellri04,RB,1,1,1977,1982,3063,
Tatum Bell,Bell,Tatum,"Bell, Tatum",Oklahoma State,3/2/81,http://www.footballdb.com/players/tatum-bell-bellta01,RB,2,41,2004,2008,2773,
Edgar Bennett,Bennett,Edgar,"Bennett, Edgar",Florida State,2/15/69,http://www.footballdb.com/players/edgar-bennett-benneed01,RB,4,103,1992,1999,3992,
Michael Bennett,Bennett,Michael,"Bennett, Michael",Wisconsin,8/13/78,http://www.footballdb.com/players/michael-bennett-bennemi01,RB,1,27,2001,2010,3703,
Cedric Benson,Benson,Cedric,"Benson, Cedric",Texas,12/28/82,http://www.footballdb.com/players/cedric-benson-bensoce01,RB,1,4,2005,2012,6017,
Jerome Bettis,Bettis,Jerome,"Bettis, Jerome",Notre Dame,2/16/72,http://www.footballdb.com/players/jerome-bettis-bettije01,RB,1,10,1993,2005,13662,
Ladell Betts,Betts,Ladell,"Betts, Ladell",Iowa,8/27/79,http://www.footballdb.com/players/ladell-betts-bettsla01,RB,2,56,2002,2010,3326,
Rocky Bleier,Bleier,Rocky,"Bleier, Rocky",Notre Dame,3/5/46,http://www.footballdb.com/players/rocky-bleier-bleiero01,RB,16,417,1968,1980,3865,
LeGarrette Blount,Blount,LeGarrette,"Blount, LeGarrette",Oregon,12/5/86,http://www.footballdb.com/players/legarrette-blount-blounle01,RB,,,2010,2015,3258,x
Ahmad Bradshaw,Bradshaw,Ahmad,"Bradshaw, Ahmad",Marshall,3/19/86,http://www.footballdb.com/players/ahmad-bradshaw-bradsah01,RB,7,250,2007,2015,4843,x
John Brockington,Brockington,John,"Brockington, John",Ohio State,9/7/48,http://www.footballdb.com/players/john-brockington-brockjo01,RB,1,9,1971,1997,5185,
James Brooks,Brooks,James,"Brooks, James",Auburn,12/28/58,http://www.footballdb.com/players/james-brooks-brookja03,RB,1,24,1981,1992,7962,
Reggie Brooks,Brooks,Reggie,"Brooks, Reggie",Notre Dame,1/19/71,http://www.footballdb.com/players/reggie-brooks-brookre01,RB,2,45,1993,1998,1726,
Chris Brown,Brown,Chris,"Brown, Chris",Colorado,4/17/81,http://www.footballdb.com/players/chris-brown-brownch06,RB,3,93,2003,2009,3024,
Gary Brown,Brown,Gary,"Brown, Gary",Penn State,7/1/69,http://www.footballdb.com/players/gary-brown-brownga01,RB,8,214,1991,1999,4300,
Jim Brown,Brown,Jim,"Brown, Jim",Syracuse,2/17/36,http://www.footballdb.com/players/jim-brown-brownji03,RB,1,6,1957,1965,12312,
Larry Brown,Brown,Larry,"Brown, Larry",Kansas State,9/19/47,http://www.footballdb.com/players/larry-brown-brownla08,RB,8,191,1969,1976,5875,
Ronnie Brown,Brown,Ronnie,"Brown, Ronnie",Auburn,12/12/81,http://www.footballdb.com/players/ronnie-brown-brownro11,RB,1,2,2005,2015,5391,x
Ted Brown,Brown,Ted,"Brown, Ted",North Carolina State,2/15/57,http://www.footballdb.com/players/ted-brown-brownte01,RB,1,16,1979,1986,4546,
Reggie Bush,Bush,Reggie,"Bush, Reggie",Southern California,3/2/85,http://www.footballdb.com/players/reggie-bush-bushre01,RB,1,2,2006,2015,5493,x
Marion Butts,Butts,Marion,"Butts, Marion",Florida State,8/1/66,http://www.footballdb.com/players/marion-butts-buttsma01,RB,7,183,1989,1995,5185,
Earnest Byner,Byner,Earnest,"Byner, Earnest",East Carolina,9/15/62,http://www.footballdb.com/players/earnest-byner-bynerea01,RB,10,280,1984,1997,8261,
Earl Campbell,Campbell,Earl,"Campbell, Earl",Texas,3/29/55,http://www.footballdb.com/players/earl-campbell-campbea01,RB,1,1,1978,1985,9407,
Tony Canadeo,Canadeo,Tony,"Canadeo, Tony",Gonzaga,5/5/19,http://www.footballdb.com/players/tony-canadeo-canadto01,RB,9,77,1941,1985,4197,
Rick Casares,Casares,Rick,"Casares, Rick",Florida,7/4/31,http://www.footballdb.com/players/rick-casares-casarri01,RB,2,18,1954,1966,5797,
Jamaal Charles,Charles,Jamaal,"Charles, Jamaal",Texas,12/27/86,http://www.footballdb.com/players/jamaal-charles-charlja01,RB,3,73,2008,2015,6913,x
Reggie Cobb,Cobb,Reggie,"Cobb, Reggie",Tennessee,7/7/68,http://www.footballdb.com/players/reggie-cobb-cobbre01,RB,2,30,1990,1996,3743,
Tony Collins,Collins,Tony,"Collins, Tony",East Carolina,5/27/59,http://www.footballdb.com/players/tony-collins-collito03,RB,2,47,1981,1990,4647,
Roger Craig,Craig,Roger,"Craig, Roger",Nebraska,7/10/60,http://www.footballdb.com/players/roger-craig-craigro01,RB,2,49,1983,1993,8189,
Joe Cribbs,Cribbs,Joe,"Cribbs, Joe",Auburn,1/5/58,http://www.footballdb.com/players/joe-cribbs-cribbjo01,RB,2,29,1980,1998,5356,
Larry Csonka,Csonka,Larry,"Csonka, Larry",Syracuse,12/25/46,http://www.footballdb.com/players/larry-csonka-csonkla01,RB,1,8,1968,1979,8081,
Sam Cunningham,Cunningham,Sam,"Cunningham, Sam",Southern California,8/18/50,http://www.footballdb.com/players/sam-cunningham-cunnisa01,RB,1,11,1973,1982,5453,
Clem Daniels,Daniels,Clem,"Daniels, Clem",Prairie View A&M,7/9/37,http://www.footballdb.com/players/clem-daniels-daniecl01,RB,,,1960,1968,5138,
John David Crow,David Crow,John,"Crow, John David",Texas A&M,7/8/35,http://www.footballdb.com/players/john-david-crow-crowjo01,RB,1,2,1958,1968,4963,
Stephen Davis,Davis,Stephen,"Davis, Stephen",Auburn,3/1/74,http://www.footballdb.com/players/stephen-davis-davisst01,RB,4,102,1996,2006,8052,
Terrell Davis,Davis,Terrell,"Davis, Terrell",Georgia,10/28/72,http://www.footballdb.com/players/terrell-davis-daviste01,RB,6,196,1995,2001,7607,
Joe Delaney,Delaney,Joe,"Delaney, Joe",Northwestern State,10/30/58,http://www.footballdb.com/players/joe-delaney-delanjo01,RB,2,41,1981,1982,1501,
Eric Dickerson,Dickerson,Eric,"Dickerson, Eric",Southern Methodist,9/2/60,http://www.footballdb.com/players/eric-dickerson-dickeer01,RB,1,2,1983,1993,13259,
Curtis Dickey,Dickey,Curtis,"Dickey, Curtis",Texas A&M,11/27/56,http://www.footballdb.com/players/curtis-dickey-dickecu01,RB,1,5,1980,1986,4019,
Corey Dillon,Dillon,Corey,"Dillon, Corey",Washington,10/24/74,http://www.footballdb.com/players/corey-dillon-dilloco01,RB,2,43,1997,2006,11241,
Tony Dorsett,Dorsett,Tony,"Dorsett, Tony",Pittsburgh,4/7/54,http://www.footballdb.com/players/tony-dorsett-dorseto01,RB,1,2,1977,1988,12739,
Reuben Droughns,Droughns,Reuben,"Droughns, Reuben",Oregon,8/21/78,http://www.footballdb.com/players/reuben-droughns-drougre01,RB,3,81,2000,2008,3602,
