Title,Year,Details of Punch,minutes,seconds,total time in minutes
Fate of the Furious,2017,He punches prison guard,34,20,34.33333333
Mechanic: Resurrection,2016,Goons at seaside cafe,4,56,4.933333333
Spy,2015,2 goons in the casino,62,11,62.18333333
Furious 7,2015,vs. The Rock,12,15,12.25
Expendables 3,2014,off-screen rando,14,55,14.91666667
Expendables 2,2012,punch w/ knife,65,56,65.93333333
Blitz,2011,rando street thug,1,43,1.716666667
Killer Elite,2011,prison guard,14,12,14.2
Crank 2 High Voltage,2009,bad guy doctor,4,59,4.983333333
Transporter 3,2008,hired goons,12,15,12.25
Crank,2006,bad guy's goons,43,18,43.3
Transporter 2,2005,garage punk,2,44,2.733333333
The Transporter,2002,motorcycle cop,22,54,22.9
Snatch,2000,no punch!,,,
"Lock, Stock, & Two Smoking Barrels",1998,traffic cop,68,5,68.08333333
